Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
United States of America,Vega Alta,Unhealthy,1,24,0,113,0,North America
France,Vernouillet,Moderate,1,20,6,60,1,Europe
France,Vernouillet,Moderate,1,20,6,60,1,Europe
Russian Federation,Vichuga,Moderate,1,25,5,52,8,Europe
Argentina,Villeta,Moderate,2,5,3,90,2,South America
Argentina,Villeta,Moderate,2,5,3,90,2,South America
France,Viroflay,Moderate,1,18,7,63,1,Europe
Italy,Vittoria,Moderate,2,26,6,57,1,Europe
Italy,Volterra,Good,1,35,4,13,1,Europe
Germany,Wadern,Moderate,1,30,3,53,2,Europe
Germany,Wadersloh,Good,0,32,2,46,2,Europe
United States of America,Walker,Good,1,37,4,47,1,North America
Germany,Warendorf,Good,0,34,1,39,3,Europe
Germany,Wedel,Good,0,33,1,31,1,Europe
Poland,Wejherowo,Good,0,33,0,25,0,Europe
United States of America,Wells,Good,1,29,5,29,1,North America
United States of America,Wells,Good,1,29,5,29,1,North America
Germany,Wermelskirchen,Good,1,27,3,47,3,Europe
United States of America,West Bend,Moderate,2,26,12,54,1,North America
Canada,Wetaskiwin,Good,1,41,0,9,2,North America
Switzerland,Wetzikon,Unhealthy,1,28,2,113,1,Europe
United States of America,Willimantic,Good,1,25,7,35,1,North America
United States of America,Winnetka,Moderate,2,23,21,63,2,North America
United States of America,Woodbury,Moderate,2,19,16,56,2,North America
United States of America,Woodbury,Moderate,2,19,16,56,2,North America
United States of America,Woodbury,Moderate,2,19,16,56,2,North America
United States of America,Woodbury,Moderate,2,19,16,56,2,North America
United States of America,Woodbury,Moderate,2,19,16,56,2,North America
United States of America,Wright,Moderate,1,29,2,72,2,North America
Kenya,Wundanyi,Good,1,14,0,40,0,Africa
Cameroon,Yagoua,Moderate,2,14,0,57,0,Africa
Mexico,Yahualica,Moderate,1,9,4,51,3,North America
United States of America,Yeadon,Moderate,2,17,18,59,1,North America
United States of America,Yeadon,Moderate,2,17,18,59,1,North America
Japan,Yoshikawa,Moderate,1,46,4,51,21,Asia
Netherlands,Zevenaar,Good,0,32,2,37,2,Europe
China,Zhangzhou,Unhealthy,3,145,3,107,6,Asia
China,Zhumadian,Unhealthy,2,137,2,81,8,Asia
Russian Federation,Beloretsk,Good,1,37,0,34,0,Europe
