Country,City,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,SO2,Continent
China,Hanchuan,Unhealthy,5,163,5,157,11,Asia
Denmark,Haslev,Good,0,33,0,36,1,Europe
United States of America,Helena,Good,1,16,3,23,3,North America
United States of America,Helena,Good,1,16,3,23,1,North America
Japan,Hikone,Good,1,46,0,23,8,Asia
United States of America,Huntington,Moderate,1,23,16,63,3,North America
United States of America,Huntington,Moderate,1,23,16,63,3,North America
United States of America,Huntington,Moderate,1,23,16,63,3,North America
United States of America,Huntington,Moderate,1,23,16,63,3,North America
United States of America,Huntington,Moderate,1,23,16,63,3,North America
Brazil,Ibotirama,Good,0,11,1,19,0,South America
Brasil,Ilhabela,Moderate,2,10,7,65,3,South America
Thailand,Kamphaeng Phet,Unhealthy,1,25,0,162,1,Asia
Uganda,Kapchorwa,Moderate,2,27,0,69,2,Africa
Russian Federation,Karasuk,Good,1,32,0,25,1,Europe
Sweden,Karlshamn,Good,1,34,0,30,1,Europe
Japan,Kashima,Moderate,1,59,0,23,3,Asia
Japan,Kashima,Moderate,1,59,0,23,8,Asia
Belgium,Kasterlee,Good,0,29,2,31,1,Europe
Japan,Katano,Good,1,46,0,24,7,Asia
Israel,Kefar Yona,Moderate,1,44,7,93,2,Asia
Canada,Kenora,Moderate,1,34,0,54,1,North America
Canada,Kentville,Moderate,1,50,0,57,1,North America
Netherlands,Kerkrade,Good,1,22,3,35,1,Europe
Pakistan,Jacobabad,Unhealthy,1,67,1,168,0,Asia
Somalia,Jilib,Good,0,20,0,28,0,Africa
South Sudan,Juba,Moderate,1,22,0,51,1,Africa
Senegal,Kaffrine,Unhealthy,1,26,2,151,2,Africa
Japan,Kamo,Good,1,41,0,30,4,Asia
Germany,Abensberg,Moderate,1,38,3,54,2,Europe
CÃ´te d'Ivoire,Aboisso,Moderate,2,23,1,55,2,Africa
Australia,Adelaide,Good,0,24,1,44,22,Oceania
Romania,Adjud,Good,1,36,0,16,1,Europe
Italy,Agropoli,Good,1,48,0,48,1,Europe
Italia,Albenga,Moderate,1,45,1,74,1,Europe
United States of America,Albertville,Moderate,2,35,4,69,1,North America
United States of America,Albertville,Moderate,2,35,4,69,1,North America
Mexico,Aldama,Moderate,1,18,1,94,5,North America
Mexico,Aldama,Moderate,1,18,1,94,1,North America
Canada,Ingersoll,Good,1,31,3,34,1,North America
United Kingdom of Great Britain and Northern Ireland,Ipswich,Good,0,31,2,12,1,Europe
United Kingdom of Great Britain and Northern Ireland,Ipswich,Good,0,31,2,12,0,Europe
United Kingdom of Great Britain and Northern Ireland,Ipswich,Good,0,31,2,12,1,Europe
Japan,Iwanuma,Good,1,41,1,43,2,Asia
India,Jalor,Unhealthy,1,34,0,198,3,Asia
Poland,Jaworzno,Moderate,1,41,2,85,5,Europe
Guatemala,Jocotenango,Unhealthy,3,2,11,126,2,North America
Spain,Jumilla,Good,1,32,0,20,1,Europe
Uganda,Kaberamaido,Moderate,2,21,0,68,0,Africa
United Republic of Tanzania,Kahama,Good,1,15,0,15,0,Africa
Thailand,Kalasin,Good,1,28,0,43,4,Asia
Ukraine,Kalush,Moderate,1,31,2,54,1,Europe
Republic of North Macedonia,Gostivar,Moderate,1,41,0,52,1,Europe
United States of America,Greenfield,Good,1,29,9,50,4,North America
United States of America,Greenfield,Good,1,29,9,50,3,North America
United States of America,Greenfield,Good,1,29,9,50,3,North America
Brazil,Guararema,Unhealthy,6,1,16,159,1,South America
United States of America,Guttenberg,Unhealthy,3,11,31,116,5,North America
Zimbabwe,Gwanda,Moderate,2,16,1,53,1,Africa
Japan,Hagi,Good,1,38,0,18,2,Asia
China,Hailin,Moderate,1,42,0,62,1,Asia
Japan,Hakui,Moderate,1,56,1,30,1,Asia
United States of America,Hawaiian Gardens,Moderate,3,6,34,97,1,North America
United States of America,Henderson,Moderate,1,35,6,52,2,North America
United States of America,Henderson,Moderate,1,35,6,52,3,North America
United States of America,Henderson,Moderate,1,35,6,52,3,North America
United States of America,Henderson,Moderate,1,35,6,52,3,North America
United States of America,Henderson,Moderate,1,35,6,52,1,North America
Uruguay,Fray Bentos,Good,1,14,1,38,0,South America
Germany,Freising,Moderate,1,43,2,51,0,Europe
Nigeria,Funtua,Moderate,2,22,1,65,1,Africa
China,Fuyang,Unhealthy,3,149,3,132,7,Asia
China,Fuyang,Unhealthy,3,149,3,132,24,Asia
Sri Lanka,Galle,Good,0,21,0,41,1,Asia
Sri Lanka,Gampola,Moderate,0,18,1,54,1,Asia
Nigeria,Gashua,Moderate,2,35,1,94,1,Africa
Italy,Gavardo,Moderate,2,27,6,58,1,Europe
Germany,Gifhorn,Good,0,35,1,28,2,Europe
Germany,Gilching,Good,1,42,2,48,1,Europe
United States of America,Holladay,Good,1,15,11,48,1,North America
United States of America,Hope Mills,Moderate,2,35,5,55,1,North America
United States of America,Hopkinsville,Moderate,2,43,6,66,2,North America
Belarus,Horki,Good,1,32,0,12,1,Europe
Russian Federation,Iglino,Good,1,31,2,41,0,Europe
Sri Lanka,Colombo,Moderate,0,27,0,56,4,Asia
Sri Lanka,Colombo,Moderate,0,27,0,56,5,Asia
United States of America,Compton,Unhealthy,4,8,35,117,5,North America
Brazil,Correia Pinto,Good,0,18,0,14,2,South America
United Kingdom of Great Britain and Northern Ireland,Coventry,Good,0,30,1,25,1,Europe
United Kingdom of Great Britain and Northern Ireland,Coventry,Good,0,30,1,25,0,Europe
United Kingdom of Great Britain and Northern Ireland,Coventry,Good,0,30,1,25,0,Europe
United States of America,Cranston,Moderate,1,44,5,71,1,North America
France,Cusset,Good,1,29,1,39,0,Europe
Germany,Gladenbach,Good,1,32,3,32,3,Europe
India,Gorakhpur,Unhealthy,3,161,1,296,5,Asia
Russian Federation,Gorokhovets,Good,1,30,0,12,1,Europe
Germany,Goslar,Good,1,38,1,25,2,Europe
United States of America,Grand Terrace,Moderate,2,9,20,79,4,North America
United Kingdom of Great Britain and Northern Ireland,Grantham,Good,0,29,1,28,1,Europe
Brazil,Guanambi,Good,0,11,0,13,0,South America
China,Guangyuan,Unhealthy,4,157,1,158,4,Asia
Venezuela (Bolivarian Republic of),Guatire,Moderate,1,19,3,51,2,South America
France,Franconville,Good,1,19,5,50,2,Europe
United States of America,Franklin Lakes,Moderate,1,44,4,52,1,North America
Switzerland,Frauenfeld,Good,1,27,2,41,1,Europe
United States of America,Fredonia,Good,1,32,4,35,1,North America
United States of America,Fredonia,Good,1,32,4,35,2,North America
Mexico,Frontera,Unhealthy,3,20,4,106,5,North America
Mexico,Frontera,Unhealthy,3,20,4,106,1,North America
Mexico,Frontera,Unhealthy,3,20,4,106,1,North America
Portugal,Funchal,Good,0,35,0,17,2,Europe
Lithuania,Garliava,Good,1,33,0,46,0,Europe
Indonesia,Garut,Moderate,1,33,1,69,4,Asia
Italy,Giaveno,Good,1,30,1,39,1,Europe
Germany,Erkrath,Good,1,33,2,30,3,Europe
United States of America,Escanaba,Good,1,32,1,29,1,North America
Belgium,Esneux,Good,1,26,4,43,2,Europe
United States of America,Evans,Moderate,2,8,13,70,9,North America
United States of America,Evans,Moderate,2,8,13,70,1,North America
United States of America,Evans,Moderate,2,8,13,70,1,North America
United States of America,Evansville,Moderate,2,28,14,63,1,North America
United States of America,Fair Lawn,Moderate,1,43,5,56,1,North America
United States of America,Fairland,Moderate,1,43,5,54,12,North America
Belgium,Florennes,Good,1,23,4,41,2,Europe
Guatemala,Flores Costa Cuca,Unhealthy,3,13,11,100,1,North America
Cambodia,Kampong Chhnang,Good,0,16,0,21,5,Asia
Russian Federation,Kamyshlov,Good,1,32,0,23,0,Europe
Indonesia,Karawang,Unhealthy,3,124,1,91,9,Asia
Czechia,Karlovy Vary,Moderate,1,33,4,68,1,Europe
Turkey,Kars,Good,0,40,0,31,0,Asia
Bulgaria,Kavarna,Good,1,44,0,41,1,Europe
Kyrgyzstan,Kemin,Moderate,0,43,0,78,4,Asia
Finland,Kempele,Good,1,31,1,11,1,Europe
Ireland,Drogheda,Moderate,1,24,4,58,1,Europe
Russian Federation,Dubovka,Good,1,38,0,9,0,Europe
South Africa,Durban,Moderate,3,25,4,90,28,Africa
Italy,Eboli,Good,1,45,1,42,1,Europe
Colombia,El Copey,Moderate,2,8,4,69,0,South America
Pakistan,Kundian,Unhealthy,3,139,0,174,6,Asia
Japan,Kurume,Good,1,33,1,14,46,Asia
Dominican Republic,La Romana,Unhealthy,1,18,2,125,1,North America
Bangladesh,Khulna,Moderate,1,29,1,53,4,Asia
United Kingdom of Great Britain and Northern Ireland,Kingswood,Good,1,23,6,32,2,Europe
India,Kishanganj,Moderate,2,42,1,62,2,Asia
India,Kishanganj,Moderate,2,42,1,62,2,Asia
Denmark,Kolding,Good,1,38,1,38,0,Europe
Bulgaria,Kostinbrod,Moderate,1,46,1,83,3,Europe
Russian Federation,Kovrov,Moderate,1,28,4,52,1,Europe
Italy,Favara,Moderate,1,34,4,52,1,Europe
Italy,Figline Valdarno,Good,1,36,2,19,1,Europe
United States of America,Flagstaff,Good,1,25,2,39,2,North America
Brasil,Praia Grande,Unhealthy,4,1,21,154,1,South America
Russian Federation,Progress,Good,1,35,0,24,9,Europe
Russian Federation,Progress,Good,1,35,0,24,1,Europe
India,Pulgaon,Unhealthy,0,29,0,154,1,Asia
Philippines,Pulilan,Moderate,1,23,1,63,12,Asia
Netherlands,Putten,Good,0,34,1,35,1,Europe
Iran (Islamic Republic of),Qeshm,Unhealthy,1,75,0,150,10,Asia
Germany,Radebeul,Good,1,27,4,50,4,Europe
United States of America,Rancho Santa Margarita,Moderate,2,13,18,68,3,North America
Brazil,Raposos,Unhealthy,3,1,9,111,1,South America
Germany,Raunheim,Moderate,1,27,3,53,3,Europe
Italy,Ravanusa,Moderate,2,28,6,57,1,Europe
Spain,Reinosa,Good,1,34,1,15,1,Europe
India,Rewa,Unhealthy,1,51,0,190,8,Asia
South Africa,Richards Bay,Moderate,1,24,1,61,7,Africa
Portugal,Rio Tinto,Good,0,28,2,21,2,Europe
Portugal,Rio Tinto,Good,0,28,2,21,2,Europe
Colombia,Rionegro,Moderate,2,7,6,71,1,South America
United States of America,Rutland,Moderate,2,9,5,54,1,North America
United States of America,Rutland,Moderate,2,9,5,54,1,North America
Colombia,Salamina,Moderate,2,6,5,65,1,South America
Latvia,Salaspils,Moderate,1,31,1,55,1,Europe
Thailand,Sam Phran,Moderate,1,24,0,55,0,Asia
Poland,Sanok,Moderate,1,39,0,77,2,Europe
Germany,Schwalmstadt,Good,1,25,3,48,1,Europe
Indonesia,Serang,Unhealthy,4,195,3,161,29,Asia
China,Shangrao,Unhealthy,4,142,2,100,5,Asia
Republic of Moldova,Orhei,Good,1,36,0,44,0,Europe
Brazil,Ortigueira,Good,1,12,1,33,1,South America
France,Os,Good,0,29,0,14,0,Europe
United States of America,Ottumwa,Moderate,1,36,3,51,1,North America
Nigeria,Owerri,Unhealthy,8,16,7,141,1,Africa
Colombia,Pailitas,Moderate,1,6,1,53,0,South America
Italy,Palombara Sabina,Good,1,44,3,37,1,Europe
Germany,Papenburg,Good,0,36,0,34,1,Europe
Poland,Parczew,Moderate,1,37,1,53,3,Europe
United States of America,Parkersburg,Good,2,36,3,28,3,North America
Germany,Pasewalk,Good,0,34,1,32,1,Europe
India,Patharia,Unhealthy,1,39,0,184,3,Asia
Ukraine,Pidhorodne,Good,1,39,2,13,1,Europe
United States of America,Pinole,Moderate,1,13,18,56,3,North America
Spain,Pinos Puente,Good,1,24,2,16,1,Europe
Bulgaria,Plovdiv,Good,1,41,1,46,3,Europe
Philippines,Polomolok,Good,1,17,0,41,1,Asia
United States of America,Pompano Beach,Moderate,2,12,12,78,2,North America
Australia,Port Augusta,Good,0,23,1,25,22,Oceania
Japan,Shizukuishi,Good,1,28,1,16,1,Asia
Ukraine,Shostka,Good,1,36,0,13,0,Europe
Kazakhstan,Shymkent,Moderate,1,46,0,74,1,Asia
Germany,Siegen,Good,1,26,3,49,1,Europe
Honduras,Siguatepeque,Moderate,1,5,3,71,2,North America
Brazil,Sobradinho,Good,1,12,1,19,1,South America
Thailand,Nong Khai,Good,0,26,0,49,1,Asia
United States of America,North Charleston,Moderate,1,31,7,53,3,North America
Russian Federation,Novaya Lyalya,Moderate,1,30,0,51,0,Europe
Russian Federation,Novoshakhtinsk,Good,1,38,1,12,1,Europe
United Kingdom of Great Britain and Northern Ireland,Oldham,Good,1,30,3,29,2,Europe
Italy,Soliera,Unhealthy,2,27,9,101,1,Europe
Italy,Sora,Good,1,42,1,43,1,Europe
Brazil,Soure,Moderate,1,16,0,52,0,South America
Brazil,Soure,Moderate,1,16,0,52,1,South America
United States of America,South Daytona,Moderate,1,24,8,61,1,North America
United States of America,South Euclid,Good,1,45,4,34,4,North America
Russian Federation,Sovetsk,Good,1,33,0,34,1,Europe
Russian Federation,Sovetsk,Good,1,33,0,34,0,Europe
South Africa,Stilfontein,Unhealthy,10,17,13,175,78,Africa
China,Suihua,Unhealthy,2,72,1,100,7,Asia
Angola,Sumbe,Moderate,2,14,1,58,0,Africa
United States of America,Joppatowne,Moderate,1,44,4,57,8,North America
Guatemala,Jutiapa,Moderate,3,5,10,82,2,North America
Ukraine,Kalanchak,Good,1,40,0,41,1,Europe
India,Kalugumalai,Moderate,1,29,0,52,4,Asia
Russian Federation,Istra,Good,1,30,3,47,2,Europe
Brazil,Itaperuna,Moderate,2,0,5,57,3,South America
Brazil,Ivoti,Moderate,1,13,4,55,2,South America
India,Jalalabad,Unhealthy,1,48,1,500,5,Asia
United Kingdom of Great Britain and Northern Ireland,Jarrow,Good,0,30,1,34,1,Europe
India,Jasdan,Unhealthy,0,33,0,155,1,Asia
Viet Nam,Ho Chi Minh City,Moderate,2,35,2,86,4,Asia
Ukraine,Horodyshche,Moderate,1,43,0,51,1,Europe
China,Huainan,Unhealthy,4,164,8,141,16,Asia
Germany,Hude,Good,1,33,2,26,2,Europe
Ecuador,Ibarra,Good,1,8,2,30,1,South America
Brazil,Iguaba Grande,Moderate,2,33,3,61,2,South America
Russian Federation,Guryevsk,Good,1,40,1,25,1,Europe
Russian Federation,Guryevsk,Good,1,40,1,25,1,Europe
Belgium,Haaltert,Good,1,24,4,40,10,Europe
United States of America,Hamilton,Good,1,31,8,45,0,North America
United States of America,Hamilton,Good,1,31,8,45,3,North America
United States of America,Hamilton,Good,1,31,8,45,3,North America
United States of America,Hamilton,Good,1,31,8,45,1,North America
United States of America,Hamilton,Good,1,31,8,45,3,North America
United States of America,Hamilton,Good,1,31,8,45,1,North America
United States of America,Hamilton,Good,1,31,8,45,3,North America
United States of America,Hamilton,Good,1,31,8,45,3,North America
United States of America,Hamilton,Good,1,31,8,45,3,North America
United States of America,Hays,Moderate,1,37,1,62,1,North America
United States of America,Hercules,Good,1,25,8,47,1,North America
Netherlands,Schagen,Good,1,38,2,34,2,Europe
Russian Federation,Sertolovo,Good,1,34,1,21,1,Europe
Japan,Komae,Moderate,1,52,4,50,9,Asia
Switzerland,Konstanz,Unhealthy,1,31,2,102,1,Europe
Ethiopia,Korem,Unhealthy,1,28,0,156,1,Africa
Thailand,Kranuan,Good,0,28,0,42,1,Asia
Republic of North Macedonia,Kratovo,Moderate,1,37,0,62,1,Europe
Republic of North Macedonia,Kratovo,Moderate,1,37,0,62,1,Europe
Pakistan,Kulachi,Unhealthy,2,100,0,177,6,Asia
Russian Federation,Kuleshovka,Good,1,37,2,17,2,Europe
Russian Federation,Kurovskoye,Good,1,31,3,26,2,Europe
Australia,Kwinana,Good,0,27,1,23,11,Oceania
Nicaragua,La Paz Centro,Good,1,16,3,39,1,North America
Spain,La Rinconada,Good,1,28,2,24,3,Europe
Spain,La Rinconada,Good,1,28,2,24,0,Europe
Germany,Lahnstein,Moderate,1,24,3,52,1,Europe
Italy,Laives,Moderate,1,21,5,99,1,Europe
United States of America,Lake Zurich,Moderate,2,22,20,61,2,North America
Germany,Leichlingen,Good,1,26,3,46,3,Europe
United Kingdom,Llanelli,Good,1,24,2,40,1,Europe
Germany,Lohne,Good,0,34,1,38,2,Europe
Belgium,Lommel,Good,1,29,3,39,1,Europe
United States,Long Beach,Moderate,1,25,12,51,2,North America
United States,Long Beach,Moderate,1,25,12,51,1,North America
United States,Long Beach,Moderate,1,25,12,51,1,North America
Spain,Lorca,Good,1,25,1,18,1,Europe
Philippines,Lutayan,Moderate,1,24,0,53,1,Asia
Switzerland,Lyss,Moderate,1,29,1,80,0,Europe
Russian Federation,Lyubertsy,Moderate,1,19,15,60,43,Europe
Brazil,Mairi,Good,0,13,0,22,1,South America
Syrian Arab Republic,Manbij,Moderate,1,42,0,71,9,Asia
China,Maoming,Moderate,1,31,3,65,4,Asia
Spain,Merida,Good,1,29,2,20,1,Europe
Mexico,Mexicali,Good,1,21,7,37,1,North America
Russian Federation,Mezhdurechensk,Good,1,37,0,28,0,Europe
United States of America,Miami Lakes,Unhealthy,4,4,20,153,2,North America
Germany,Michelstadt,Moderate,1,33,3,54,1,Europe
Russian Federation,Mikun,Good,1,35,0,10,0,Europe
Australia,Mildura,Good,0,25,0,27,1,Oceania
United States of America,Minden,Moderate,1,20,3,63,1,North America
United States of America,Minden,Moderate,1,20,3,63,1,North America
Italy,Mirandola,Unhealthy,2,28,10,124,1,Europe
Brazil,Mirassol,Good,1,10,2,39,1,South America
Malaysia,Miri,Unhealthy,67,209,2,157,96,Asia
Ethiopia,Mojo,Moderate,1,26,0,95,1,Africa
Russian Federation,Monchegorsk,Good,1,29,0,9,2,Europe
United States of America,Mounds View,Moderate,1,33,9,53,1,North America
Malta,Naxxar,Good,1,39,2,22,1,Europe
Colombia,Neira,Moderate,2,4,6,73,1,South America
Germany,Nidderau,Moderate,1,26,3,51,1,Europe
Cuba,Niquero,Moderate,1,25,0,53,0,North America
Australia,Karratha,Good,0,22,0,9,5,Oceania
Japan,Ishikawa,Good,1,39,2,19,2,Asia
Turkey,Isparta,Good,1,33,0,49,2,Asia
India,Khunti,Unhealthy,2,70,0,185,17,Asia
Russian Federation,Khvalynsk,Good,1,38,0,45,1,Europe
Mexico,Macuspana,Unhealthy,5,6,10,165,1,North America
Philippines,Magsaysay,Moderate,1,23,0,57,1,Asia
Philippines,Magsaysay,Moderate,1,23,0,57,0,Asia
Philippines,Magsaysay,Moderate,1,23,0,57,1,Asia
Philippines,Magsaysay,Moderate,1,23,0,57,1,Asia
Philippines,Magsaysay,Moderate,1,23,0,57,0,Asia
United States of America,Marquette,Good,1,34,2,29,1,North America
Japan,Masuda,Good,1,44,0,32,3,Asia
Russian Federation,Maykop,Moderate,1,38,1,57,1,Europe
United States of America,Mehlville,Moderate,2,10,19,85,4,North America
United States of America,Melville,Moderate,2,14,23,65,3,North America
Japan,Moriya,Moderate,1,46,4,52,17,Asia
India,Kalghatgi,Good,0,23,0,50,1,Asia
United States of America,Yarmouth,Good,1,37,3,19,0,North America
United States of America,Yarmouth,Good,1,37,3,19,1,North America
Japan,Yoichi,Good,1,39,1,14,1,Asia
Japan,Yorii,Moderate,1,86,1,67,7,Asia
Russian Federation,Zavolzhsk,Moderate,1,24,4,55,1,Europe
Mexico,Zihuatanejo,Good,1,17,2,36,2,North America
Switzerland,Zug,Moderate,1,22,3,54,1,Europe
India,Tehri,Unhealthy,2,69,0,103,17,Asia
United States of America,Tenafly,Moderate,2,17,21,77,1,North America
Germany,Tholey,Moderate,1,30,5,65,2,Europe
Algérie,Tigzirt,Good,4,41,16,50,2,Africa
China,Tongren,Moderate,2,51,0,60,4,Asia
Spain,Torrelodones,Moderate,1,25,3,57,2,Europe
Russian Federation,Ukhta,Good,1,33,0,44,0,Europe
Netherlands,Dronten,Good,0,34,1,33,1,Europe
Guatemala,El Palmar,Unhealthy,4,10,12,108,1,North America
Guatemala,El Palmar,Unhealthy,4,10,12,108,4,North America
India,Ongole,Moderate,1,33,0,83,6,Asia
United States of America,Owasso,Moderate,1,27,5,53,1,North America
Colombia,Paipa,Good,1,5,4,38,1,South America
Italia,Pozzallo,Moderate,1,19,7,65,2,Europe
South Africa,Prieska,Moderate,2,17,2,81,2,Africa
Guatemala,Puerto Barrios,Good,1,13,1,47,0,North America
Canada,Quesnel,Good,1,23,0,14,2,North America
Ecuador,Quevedo,Moderate,3,3,7,74,0,South America
Germany,Radevormwald,Good,0,24,2,34,1,Europe
Germany,Rahden,Good,0,27,2,35,1,Europe
Malaysia,Raub,Moderate,1,35,0,74,2,Asia
United States of America,Redmond,Moderate,2,17,15,62,1,North America
United States of America,Redmond,Moderate,2,17,15,62,2,North America
Chile,Rengo,Unhealthy,4,1,11,115,1,South America
Croatia,Rijeka,Good,1,50,0,14,1,Europe
Brazil,Rio Pomba,Moderate,1,9,3,56,1,South America
Uruguay,Rocha,Good,0,24,0,11,0,South America
United States of America,Rockford,Moderate,2,20,8,59,0,North America
Germany,Rommerskirchen,Good,0,25,2,30,3,Europe
Philippines,Roxas,Good,1,27,0,45,5,Asia
Philippines,Roxas,Good,1,27,0,45,2,Asia
Philippines,Roxas,Good,1,27,0,45,1,Asia
Russian Federation,Rybnoye,Moderate,1,35,2,52,2,Europe
Thailand,Sa Kaeo,Good,0,29,0,46,1,Asia
Philippines,Sagay,Moderate,1,27,0,53,1,Asia
Philippines,Sagay,Moderate,1,27,0,53,4,Asia
Uruguay,Salto,Good,0,23,0,9,1,South America
Uruguay,Salto,Good,0,23,0,9,0,South America
Germany,Salzgitter,Good,0,30,1,37,2,Europe
Philippines,Samal,Moderate,1,16,0,61,1,Asia
Philippines,Samal,Moderate,1,16,0,61,2,Asia
Philippines,San Simon,Moderate,1,27,0,54,4,Asia
Malaysia,Sandakan,Good,1,19,0,48,0,Asia
United States of America,West Jordan,Moderate,1,6,14,56,1,North America
United States of America,West Valley City,Moderate,1,7,13,52,1,North America
United States of America,Whitewater,Moderate,2,9,13,72,1,North America
Australia,Wollongong,Good,0,24,2,19,0,Oceania
Japan,Yachiyo,Moderate,1,71,2,33,11,Asia
Japan,Yachiyo,Moderate,1,71,2,33,9,Asia
Japan,Yuza,Good,1,37,0,29,2,Asia
Russian Federation,Zheleznovodsk,Good,1,40,1,38,1,Europe
Netherlands,Zoetermeer,Good,0,34,1,28,4,Europe
Turkey,Zonguldak,Good,1,36,0,20,2,Asia
Netherlands,Papendrecht,Good,0,34,1,27,3,Europe
Brazil,Parnarama,Good,0,13,0,26,0,South America
Italy,Pellezzano,Moderate,1,56,1,50,1,Europe
United Kingdom of Great Britain and Northern Ireland,Perth,Good,1,22,7,37,22,Europe
United Kingdom of Great Britain and Northern Ireland,Perth,Good,1,22,7,37,1,Europe
Italy,Pescara,Moderate,1,35,5,70,1,Europe
South Africa,Pietermaritzburg,Unhealthy,13,3,13,215,65,Africa
Brazil,Pilar,Good,1,15,2,39,2,South America
Brazil,Pilar,Good,1,15,2,39,3,South America
Brazil,Pilar,Good,1,15,2,39,1,South America
Brazil,Pilar,Good,1,15,2,39,1,South America
Brazil,Pilar,Good,1,15,2,39,1,South America
Brazil,Pilar,Good,1,15,2,39,1,South America
Brazil,Pilar,Good,1,15,2,39,1,South America
Brazil,Pilar,Good,1,15,2,39,3,South America
Brazil,Pilar,Good,1,15,2,39,1,South America
Brazil,Pilar,Good,1,15,2,39,1,South America
Brazil,Pilar,Good,1,15,2,39,1,South America
Brazil,Pitangueiras,Unhealthy,3,4,7,149,2,South America
Portugal,Ponta Delgada,Good,0,21,2,12,0,Europe
France,Pontivy,Good,1,27,3,40,1,Europe
United States of America,Port Arthur,Good,0,24,3,29,1,North America
United States of America,Glen Ellyn,Moderate,2,17,17,67,1,North America
United States of America,Glens Falls,Moderate,2,17,6,64,1,North America
United States of America,Goshen,Moderate,2,19,11,76,1,North America
United States of America,Goshen,Moderate,2,19,11,76,0,North America
Venezuela (Bolivarian Republic of),Guarenas,Unhealthy,1,16,7,141,0,South America
Colombia,Guarne,Unhealthy,3,5,8,101,1,South America
Guatemala,Guatemala City,Moderate,2,7,6,79,2,North America
United Kingdom of Great Britain and Northern Ireland,Harrogate,Good,1,32,3,15,1,Europe
Germany,Hattersheim,Moderate,2,36,5,71,2,Europe
Sri Lanka,Hatton,Moderate,1,22,1,52,22,Asia
United States of America,Herrin,Moderate,2,27,13,63,2,North America
United Kingdom of Great Britain and Northern Ireland,Hertford,Good,1,32,4,23,1,Europe
China,Heze,Unhealthy,5,201,4,159,7,Asia
United States of America,Highland Park,Moderate,2,17,19,89,3,North America
United States of America,Highland Park,Moderate,2,17,19,89,5,North America
United States of America,Highland Park,Moderate,2,17,19,89,5,North America
United States of America,Highland Park,Moderate,2,17,19,89,3,North America
Germany,Ettenheim,Moderate,1,27,4,67,1,Europe
United States of America,Ewing,Moderate,2,27,10,54,3,North America
Italy,Faenza,Moderate,1,47,2,62,1,Europe
Madagascar,Faratsiho,Good,0,25,0,20,0,Africa
Madagascar,Fenoarivo,Good,1,23,0,23,0,Africa
Madagascar,Fenoarivo,Good,1,23,0,23,0,Africa
Madagascar,Fenoarivo,Good,1,23,0,23,0,Africa
United States of America,Fort Hunt,Moderate,1,27,9,51,5,North America
United States of America,Pinewood,Moderate,1,16,13,61,1,North America
Philippines,Pangil,Moderate,1,26,2,51,5,Asia
Pakistan,Pasrur,Unhealthy,3,147,1,164,9,Asia
India,Pehowa,Unhealthy,3,160,1,163,5,Asia
Cuba,Artemisa,Moderate,1,25,2,59,11,North America
Russian Federation,Arzamas,Good,1,29,0,20,1,Europe
Germany,Auerbach,Good,1,28,2,29,2,Europe
Germany,Auerbach,Good,1,28,2,29,1,Europe
Peru,Ayacucho,Good,0,8,0,12,0,South America
Peru,Ayacucho,Good,0,8,0,12,13,South America
United Republic of Tanzania,Babati,Good,0,16,0,35,0,Africa
Germany,Bad Liebenwerda,Good,1,32,2,29,1,Europe
Germany,Bad Schwalbach,Good,1,34,2,30,1,Europe
India,Badvel,Unhealthy,0,33,0,101,2,Asia
United Republic of Tanzania,Bariadi,Good,0,17,0,30,0,Africa
Brazil,Barroso,Moderate,2,0,5,65,6,South America
Russian Federation,Barysh,Good,0,31,0,46,0,Europe
Russian Federation,Bavly,Good,1,29,0,23,0,Europe
Turkey,Bayburt,Moderate,0,39,0,69,1,Asia
United States of America,Bellwood,Moderate,2,9,30,82,2,North America
Angola,Benguela,Moderate,3,12,2,92,3,Africa
Philippines,Binalbagan,Moderate,1,18,0,75,1,Asia
United States of America,Bismarck,Good,1,32,2,40,0,North America
Belgium,Bocholt,Good,1,33,3,37,2,Europe
Belgium,Bocholt,Good,1,33,3,37,2,Europe
Colombia,Bogota,Moderate,2,4,8,75,1,South America
Ukraine,Bohodukhiv,Moderate,1,40,2,54,0,Europe
United States of America,Boone,Good,1,36,4,36,1,North America
United States of America,Boone,Good,1,36,4,36,3,North America
United Kingdom of Great Britain and Northern Ireland,Bootle,Moderate,0,33,0,65,1,Europe
United States of America,Borger,Good,1,30,1,49,0,North America
United States of America,Borger,Good,1,30,1,49,1,North America
United States of America,Brookings,Good,1,41,2,23,0,North America
Belgium,Buggenhout,Good,1,28,3,37,2,Europe
Burundi,Bujumbura,Moderate,5,17,2,90,2,Africa
South Africa,Butterworth,Moderate,1,26,2,72,3,Africa
Brazil,Canarana,Good,0,12,0,13,1,South America
United States of America,Canby,Good,1,16,10,36,1,North America
Brazil,Canguaretama,Good,0,19,1,34,5,South America
Brazil,Carauari,Good,1,3,0,16,0,South America
Italy,Castano Primo,Good,1,35,1,17,1,Europe
Italy,Castellarano,Moderate,1,38,1,57,1,Europe
Italy,Castelnuovo Rangone,Moderate,1,37,2,62,1,Europe
United States of America,Cedar Grove,Moderate,1,43,5,56,1,North America
United States of America,Sarasota,Good,1,32,8,42,3,North America
Russian Federation,Sasovo,Good,1,33,0,40,0,Europe
